State,Year,Expenditure
NSW,2008,40892
VIC,2008,29750
QLD,2008,25656
WA,2008,13123
SA,2008,10196
TAS,2008,2878
ACT,2008,2340
NT,2008,1665
NSW,2009,43400
VIC,2009,32398
QLD,2009,27935
WA,2009,13932
SA,2009,10432
TAS,2009,3017
ACT,2009,2494
NT,2009,1803
NSW,2010,44438
VIC,2010,33862
QLD,2010,29134
WA,2010,14298
SA,2010,10880
TAS,2010,3063
ACT,2010,2557
NT,2010,1825
NSW,2011,47131
VIC,2011,36526
QLD,2011,30650
WA,2011,15774
SA,2011,11439
TAS,2011,3440
ACT,2011,2800
NT,2011,2059
NSW,2012,49491
VIC,2012,38417
QLD,2012,32893
WA,2012,16908
SA,2012,12097
TAS,2012,3585
ACT,2012,3044
NT,2012,2443
NSW,2013,51614
VIC,2013,38622
QLD,2013,33074
WA,2013,17279
SA,2013,11898
TAS,2013,3524
ACT,2013,2959
NT,2013,2347
NSW,2014,52461
VIC,2014,40146
QLD,2014,34638
WA,2014,18126
SA,2014,12502
TAS,2014,3612
ACT,2014,3004
NT,2014,2236
NSW,2015,54148
VIC,2015,41596
QLD,2015,35199
WA,2015,18902
SA,2015,12543
TAS,2015,3696
ACT,2015,3127
NT,2015,2242
NSW,2016,55140
VIC,2016,42938
QLD,2016,37047
WA,2016,19441
SA,2016,12873
TAS,2016,3975
ACT,2016,3365
NT,2016,2428
NSW,2017,55557
VIC,2017,44541
QLD,2017,38119
WA,2017,19300
SA,2017,15611
TAS,2017,3892
ACT,2017,3500
NT,2017,2662
NSW,2018,57058
VIC,2018,46184
QLD,2018,38909
WA,2018,19632
SA,2018,13371
TAS,2018,4004
ACT,2018,3578
NT,2018,2680
