Rank,Country,Employment Density,Population
1,Norway,106.31,5379000
2,Denmark,88.64,5831000
3,Sweden,83.92,10350000
4,Netherlands,81.78,17440000
5,Switzerland,80.76,8637000
6,Luxembourg,75.47,632275
7,Finland,75.14,5531000
8,Germany,70.31,83240000
9,Australia,68,25690000
10,Japan,67.16,125800000
11,United States,63.75,329500000
12,Iceland,62.61,366425
13,United Kingdom,59.77,67220000
14,Canada,58.66,38010000
15,France,58.43,67390000
16,Belgium,54.65,11560000
17,New Zealand,53.79,5084000
18,Ireland,53.17,4995000
19,Austria,51.99,8917000
