Country Name,Country Code,Life expectancy at birth
"Hong Kong SAR, China",HKG,85.08
Japan,JPN,84.36
"Macao SAR, China",MAC,84.24
Switzerland,CHE,83.70
Singapore,SGP,83.50
Spain,ESP,83.49
"Korea, Rep.",KOR,83.23
Italy,ITA,83.20
Channel Islands,CHI,83.09
Liechtenstein,LIE,83.04
Sweden,SWE,82.96
Norway,NOR,82.91
Australia,AUS,82.90
Israel,ISR,82.80
Faroe Islands,FRO,82.75
Malta,MLT,82.60
France,FRA,82.58
Iceland,ISL,82.56
Luxembourg,LUX,82.45
Ireland,IRL,82.30
Canada,CAN,82.05
Euro area,EMU,82.04
Netherlands,NLD,82.01
Greece,GRC,81.94
Bermuda,BMU,81.87
Austria,AUT,81.79
Finland,FIN,81.79
Belgium,BEL,81.75
New Zealand,NZL,81.71
Slovenia,SVN,81.28
United Kingdom,GBR,81.20
Denmark,DNK,81.20
European Union,EUU,81.06
Cyprus,CYP,80.98
Germany,DEU,80.94
High income,HIC,80.89
Post-demographic dividend,PST,80.79
Portugal,PRT,80.68
Costa Rica,CRI,80.28
Qatar,QAT,80.23
OECD members,OED,80.21
Chile,CHL,80.18
Guam,GUM,80.07
St. Martin (French part),MAF,79.97
Puerto Rico,PRI,79.93
Virgin Islands (U.S.),VIR,79.67
Barbados,BRB,79.19
Czech Republic,CZE,79.13
North America,NAC,79.12
Lebanon,LBN,78.93
Maldives,MDV,78.92
Cuba,CUB,78.80
United States,USA,78.79
Albania,ALB,78.57
Panama,PAN,78.51
Estonia,EST,78.50
Croatia,HRV,78.42
Europe & Central Asia,ECS,78.03
United Arab Emirates,ARE,77.97
Uruguay,URY,77.91
Oman,OMN,77.86
Poland,POL,77.86
Turkey,TUR,77.69
French Polynesia,PYF,77.66
New Caledonia,NCL,77.63
Slovak Republic,SVK,77.47
Bosnia and Herzegovina,BIH,77.40
Bahrain,BHR,77.29
Colombia,COL,77.29
Thailand,THA,77.15
Central Europe and the Baltics,CEB,77.14
Antigua and Barbuda,ATG,77.02
Ecuador,ECU,77.01
Sri Lanka,LKA,76.98
China,CHN,76.91
Montenegro,MNE,76.88
Algeria,DZA,76.88
Peru,PER,76.74
Tunisia,TUN,76.70
Morocco,MAR,76.68
"Iran, Islamic Rep.",IRN,76.68
Argentina,ARG,76.67
Late-demographic dividend,LTE,76.43
Aruba,ABW,76.29
East Asia & Pacific,EAS,76.26
St. Lucia,LCA,76.20
Malaysia,MYS,76.16
Lithuania,LTU,76.13
Hungary,HUN,76.02
Upper middle income,UMC,75.94
Brazil,BRA,75.88
Brunei Darussalam,BRN,75.86
North Macedonia,MKD,75.80
Serbia,SRB,75.69
Latin America & Caribbean,LCN,75.60
Latin America & Caribbean (excluding high income),LAC,75.59
Latin America & the Caribbean (IDA & IBRD countries),TLA,75.52
Kuwait,KWT,75.49
Romania,ROU,75.46
East Asia & Pacific (IDA & IBRD countries),TEA,75.44
East Asia & Pacific (excluding high income),EAP,75.40
Vietnam,VNM,75.40
Honduras,HND,75.27
Latvia,LVA,75.24
Saudi Arabia,SAU,75.13
Armenia,ARM,75.09
Mexico,MEX,75.05
Bulgaria,BGR,74.91
Belize,BLZ,74.62
Jordan,JOR,74.53
Nicaragua,NIC,74.49
Jamaica,JAM,74.48
Guatemala,GTM,74.30
Europe & Central Asia (IDA & IBRD countries),TEC,74.30
Middle East & North Africa,MEA,74.27
Paraguay,PRY,74.25
Mauritius,MUS,74.24
Belarus,BLR,74.23
Dominican Republic,DOM,74.08
West Bank and Gaza,PSE,74.05
Seychelles,SYC,73.94
Europe & Central Asia (excluding high income),ECA,73.94
"Bahamas, The",BHS,73.92
Middle East & North Africa (excluding high income),MNA,73.78
Middle East & North Africa (IDA & IBRD countries),TMN,73.77
Georgia,GEO,73.77
Caribbean small states,CSS,73.75
IBRD only,IBD,73.61
Trinidad and Tobago,TTO,73.51
Samoa,WSM,73.32
El Salvador,SLV,73.32
Kazakhstan,KAZ,73.18
Russian Federation,RUS,73.08
Azerbaijan,AZE,73.01
Solomon Islands,SLB,73.00
Cabo Verde,CPV,72.98
Libya,LBY,72.91
World,WLD,72.74
Syrian Arab Republic,SYR,72.70
Bangladesh,BGD,72.59
St. Vincent and the Grenadines,VCT,72.53
Kosovo,XKX,72.50
Grenada,GRD,72.40
"Korea, Dem. People's Rep.",PRK,72.27
"Venezuela, RB",VEN,72.06
Middle income,MIC,72.05
"Egypt, Arab Rep.",EGY,71.99
Arab World,ARB,71.99
Moldova,MDA,71.90
Ukraine,UKR,71.83
Bhutan,BTN,71.78
Uzbekistan,UZB,71.73
Indonesia,IDN,71.72
Suriname,SUR,71.68
Kyrgyz Republic,KGZ,71.60
Bolivia,BOL,71.51
IDA & IBRD total,IBT,71.27
Philippines,PHL,71.23
Low & middle income,LMY,71.21
Tajikistan,TJK,71.10
Tonga,TON,70.91
Nepal,NPL,70.78
Early-demographic dividend,EAR,70.70
Iraq,IRQ,70.60
Vanuatu,VUT,70.47
Sao Tome and Principe,STP,70.39
Pacific island small states,PSS,70.08
Guyana,GUY,69.91
Mongolia,MNG,69.87
Cambodia,KHM,69.82
Small states,SST,69.77
India,IND,69.66
South Asia,SAS,69.64
South Asia (IDA & IBRD),TSA,69.64
Botswana,BWA,69.59
Timor-Leste,TLS,69.50
Lower middle income,LMC,69.09
Rwanda,RWA,69.02
Other small states,OSS,68.82
Kiribati,KIR,68.37
Turkmenistan,TKM,68.19
Senegal,SEN,67.94
Lao PDR,LAO,67.92
"Micronesia, Fed. Sts.",FSM,67.88
Fiji,FJI,67.44
Pakistan,PAK,67.27
Myanmar,MMR,67.13
Djibouti,DJI,67.11
Madagascar,MDG,67.04
Kenya,KEN,66.70
Ethiopia,ETH,66.60
Gabon,GAB,66.47
Eritrea,ERI,66.32
"Yemen, Rep.",YEM,66.13
IDA only,IDX,65.61
Tanzania,TZA,65.46
Least developed countries: UN classification,LDC,65.35
Sudan,SDN,65.31
Mauritania,MRT,64.93
Afghanistan,AFG,64.83
"Congo, Rep.",COG,64.57
IDA total,IDA,64.54
Papua New Guinea,PNG,64.50
Comoros,COM,64.32
Malawi,MWI,64.26
South Africa,ZAF,64.13
Liberia,LBR,64.10
Ghana,GHA,64.07
Africa Eastern and Southern,AFE,64.01
Haiti,HTI,64.00
Zambia,ZMB,63.89
Low income,LIC,63.73
Namibia,NAM,63.71
Heavily indebted poor countries (HIPC),HPC,63.49
Uganda,UGA,63.37
Fragile and conflict affected situations,FCS,62.48
Niger,NER,62.42
IDA blend,IDB,62.41
"Gambia, The",GMB,62.05
Benin,BEN,61.77
Sub-Saharan Africa,SSF,61.63
Sub-Saharan Africa (IDA & IBRD countries),TSS,61.63
Sub-Saharan Africa (excluding high income),SSA,61.63
Guinea,GIN,61.60
Burundi,BDI,61.58
Burkina Faso,BFA,61.58
Zimbabwe,ZWE,61.49
Pre-demographic dividend,PRE,61.18
Angola,AGO,61.15
Togo,TGO,61.04
Mozambique,MOZ,60.85
"Congo, Dem. Rep.",COD,60.68
Eswatini,SWZ,60.19
Mali,MLI,59.31
Cameroon,CMR,59.29
Equatorial Guinea,GNQ,58.74
Guinea-Bissau,GNB,58.32
Africa Western and Central,AFW,58.12
South Sudan,SSD,57.85
Cote d'Ivoire,CIV,57.78
Somalia,SOM,57.40
Sierra Leone,SLE,54.70
Nigeria,NGA,54.69
Lesotho,LSO,54.33
Chad,TCD,54.24
Central African Republic,CAF,53.28
Andorra,AND,
American Samoa,ASM,
Curacao,CUW,
Cayman Islands,CYM,
Dominica,DMA,
Gibraltar,GIB,
Greenland,GRL,
Isle of Man,IMN,
Not classified,INX,
St. Kitts and Nevis,KNA,
Monaco,MCO,
Marshall Islands,MHL,
Northern Mariana Islands,MNP,
Nauru,NRU,
Palau,PLW,
San Marino,SMR,
