﻿State_Territory,Year,Total_Health_Expenditure_in_million
NT,2007–08,"1,664.90"
NT,2008–09,"1,802.63"
NT,2009–10,"1,825.46"
NT,2010–11,"2,059.49"
NT,2013–14,"2,236.28"
NT,2014–15,"2,241.67"
ACT,2007–08,"2,339.51"
NT,2012–13,"2,346.89"
NT,2015–16,"2,428.40"
NT,2011–12,"2,442.55"
ACT,2008–09,"2,494.31"
ACT,2009–10,"2,556.78"
NT,2016–17,"2,662.12"
NT,2017–18,"2,680.09"
ACT,2010–11,"2,800.35"
TAS,2007–08,"2,877.80"
ACT,2012–13,"2,959.16"
ACT,2013–14,"3,004.13"
TAS,2008–09,"3,017.34"
ACT,2011–12,"3,044.35"
TAS,2009–10,"3,062.84"
ACT,2014–15,"3,127.28"
ACT,2015–16,"3,364.70"
TAS,2010–11,"3,439.68"
ACT,2016–17,"3,500.45"
TAS,2012–13,"3,524.18"
ACT,2017–18,"3,577.80"
TAS,2011–12,"3,585.17"
TAS,2013–14,"3,612.12"
TAS,2014–15,"3,695.72"
TAS,2016–17,"3,891.79"
TAS,2015–16,"3,974.53"
TAS,2017–18,"4,003.98"
SA,2007–08,"10,196"
SA,2008–09,"10,432"
SA,2009–10,"10,880"
SA,2010–11,"11,439"
SA,2012–13,"11,898"
SA,2011–12,"12,097"
SA,2013–14,"12,502"
SA,2014–15,"12,543"
SA,2015–16,"12,873"
WA,2007–08,"13,122.53"
SA,2017–18,"13,371"
WA,2008–09,"13,932.17"
WA,2009–10,"14,298.37"
SA,2016–17,"15,611"
WA,2010–11,"15,774.41"
WA,2011–12,"16,907.89"
WA,2012–13,"17,278.92"
WA,2013–14,"18,125.58"
WA,2014–15,"18,901.70"
WA,2016–17,"19,299.69"
WA,2015–16,"19,441.07"
WA,2017–18,"19,632.46"
QLD,2007–08,"25,655.72"
QLD,2008–09,"27,934.79"
QLD,2009–10,"29,133.50"
VIC,2007–08,"29,750"
QLD,2010–11,"30,649.63"
VIC,2008–09,"32,398"
QLD,2011–12,"32,893.37"
QLD,2012–13,"33,074.15"
VIC,2009–10,"33,862"
QLD,2013–14,"34,638.28"
QLD,2014–15,"35,198.59"
VIC,2010–11,"36,526"
QLD,2015–16,"37,046.79"
QLD,2016–17,"38,118.81"
VIC,2011–12,"38,417"
VIC,2012–13,"38,622"
QLD,2017–18,"38,909.00"
VIC,2013–14,"40,146"
NSW,2007–08,"40,891.56"
VIC,2014–15,"41,596"
VIC,2015–16,"42,938"
NSW,2008–09,"43,400.25"
NSW,2009–10,"44,438.17"
VIC,2016–17,"44,541"
VIC,2017–18,"46,184"
NSW,2010–11,"47,130.68"
NSW,2011–12,"49,490.57"
NSW,2012–13,"51,614.13"
NSW,2013–14,"52,460.57"
NSW,2014–15,"54,147.50"
NSW,2015–16,"55,139.85"
NSW,2016–17,"55,557.17"
NSW,2017–18,"57,057.51"
